Inspection ID,FEI Number,Legal Name,City Name,Country Name,Country Code,Street Address Line 1,Inspection End Date,Classification Code,Product Type,Center,Project Area,Posted Citations
1225621,3006010954,Guangzhou Baiyunshan Jingxiutang Pharmaceutical Co. Ltd.,Foshan,China,CN,"No. 249 Poyang Road, Nanhai",12/08/2023,OAI,Drugs,CDER,Drug Quality Assurance,No
956110,3006016750,"Taizhou Xinyou Pharmaceutical & Chemical Co., Ltd.",Taizhou,China,CN,"Jiaojiang District, 258 Waisha Industrial Zone",01/19/2016,OAI,Drugs,CDER,Drug Quality Assurance,No
886801,3006076314,Apotex Research Private Limited,Bengaluru,India,IN,"Plot No.1 And 2, Bommasandra Industrial Area, 4th Phase, Jigani Link Rd",07/01/2014,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1049613,3006102089,Longbow First Aid Products Manufactory,Foshan,China,CN,"Hantian Industrial Park, Building F/2, A3 Guiping Road",04/20/2018,OAI,Drugs,CDER,Drug Quality Assurance,No
877574,3006143547,Zhejiang Qianfei Enterprise Co. Ltd.,Jinhua,China,CN,"No 173 Wulian Road, Yiwu",04/17/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
1260194,3006192929,Shiva Analyticals (India) Pvt. Ltd.,Hoskote Bangaluru,India,IN,Plot 24d [P] & 34d Kiadb Industrial Area,01/24/2025,OAI,Drugs,CDER,Drug Quality Assurance,Yes
927828,3006210232,Fresenius Kabi Oncology Limited,Baddi,India,IN,"Tehsil Nalagarh, Nalagarh Baddi Road",05/22/2015,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1010068,3006210232,Fresenius Kabi Oncology Limited,Baddi,India,IN,"Tehsil Nalagarh, Nalagarh Baddi Road",04/14/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
1220476,3006210232,Fresenius Kabi Oncology Limited,Baddi,India,IN,"Tehsil Nalagarh, Nalagarh Baddi Road",10/10/2023,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1028368,3006213806,"Nox Bellcow Cosmetics Co., Ltd.",Zhongshan,China,CN,"No.50 Dongfu North Road, Nantou Town",09/22/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
1014705,3006217304,Contacare Ophthalmics & Diagnostics,Dabhasa,India,IN,"310b Village Sim, Block No",04/04/2017,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1070443,3006217304,Contacare Ophthalmics & Diagnostics,Dabhasa,India,IN,"310b Village Sim, Block No",11/01/2018,OAI,Drugs,CDER,Drug Quality Assurance,Yes
959937,3006254924,CTX Lifesciences Private Ltd.,Surat,India,IN,"251 - 252 Plot, Sachin Magdalla Highway",02/19/2016,OAI,Drugs,CDER,Drug Quality Assurance,No
855534,3006257565,Amanta Healthcare  Ltd.,Kheda,India,IN,"N Plot No 876, H-8",11/01/2013,OAI,Drugs,CDER,Drug Quality Assurance,No
1235782,3006283468,"Tianjin Darentang Jingwanhong Pharmaceutical Co., Ltd.",Tianjin,China,CN,"No. 20 Daming Street, Xiqing",03/22/2024,OAI,Drugs,CDER,Drug Quality Assurance,No
773117,3006323887,Nantong Strip Medical Supply Co Ltd,Nantong,China,CN,"Building A, 182 Yuelong South Rd",02/16/2012,OAI,Drugs,CDER,Drug Quality Assurance,No
992265,3006362781,"Gauke Healthcare Co., Ltd.",Huanggang,China,CN,"82 Tuanfeng Avenue, Tuanfeng County",11/15/2016,OAI,Drugs,CDER,Drug Quality Assurance,No
1013402,3006370331,Kim Chemicals Private Ltd.,"Taloja, Raigad",India,IN,"Plot No. G-13/16, Midc, Taloja",06/09/2017,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1081175,3006370489,Apitoria Pharma Private Limited,Sangareddy,India,IN,"Unit-Iii; Survey No.:374 Gundla Machnur Village, Hathnoora Mandal",02/02/2019,OAI,Drugs,CDER,Drug Quality Assurance,No
748707,3006403682,"Jianerkang Medical Co., Ltd",Changzhou,China,CN,"No. 1 Jianerkang Road, Zhixizhen Jintan",09/19/2011,OAI,Drugs,CDER,Drug Quality Assurance,No
806368,3006418686,Aarti Drugs Limited,Palghar,India,IN,"Plot No. E-22, M.I.D.C., Tarapur",11/02/2012,OAI,Drugs,CDER,Drug Quality Assurance,No
895001,3006418686,Aarti Drugs Limited,Palghar,India,IN,"Plot No. E-22, M.I.D.C., Tarapur",08/09/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
1038511,3006418686,Aarti Drugs Limited,Palghar,India,IN,"Plot No. E-22, M.I.D.C., Tarapur",12/08/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
1028877,3006460758,"Zhejiang Ludao Technology Co., Ltd.",Taizhou,China,CN,"No. 5 Industry Road, Hairun Street, Sanmen Country",08/18/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
949776,3006512913,Beyond Technology Corporation Nanchang,Nanchang,China,CN,"NO 162 Kejidadao, Qingshanhu",11/11/2015,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1046483,3006528506,"Hangzhou Karic Commodities Co., Ltd.",Hangzhou,China,CN,"West Lake Science And, No 2 Fifth Avenue",03/29/2018,OAI,Drugs,CDER,Drug Quality Assurance,No
929653,3006531950,Zhuhai United Laboratories Co. Ltd.,Zhuhai,China,CN,"Anji Road, No. 2428 Jinwan Avenue; Sanzaozhen Jinwan",03/31/2015,OAI,Drugs,CDER,Drug Quality Assurance,No
1029448,3006531950,Zhuhai United Laboratories Co. Ltd.,Zhuhai,China,CN,"Anji Road, No. 2428 Jinwan Avenue; Sanzaozhen Jinwan",09/15/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
1098866,3006531950,Zhuhai United Laboratories Co. Ltd.,Zhuhai,China,CN,"Anji Road, No. 2428 Jinwan Avenue; Sanzaozhen Jinwan",07/16/2019,OAI,Drugs,CDER,Drug Quality Assurance,No
1215530,3006531950,Zhuhai United Laboratories Co. Ltd.,Zhuhai,China,CN,"Anji Road, No. 2428 Jinwan Avenue; Sanzaozhen Jinwan",08/03/2023,OAI,Drugs,CDER,Drug Quality Assurance,No
